season,week,outcome,date,time,rotation,team,score,wagers,BETONLINE_spread,BETONLINE_odds,BOVODA_spread,BOVODA_odds,BookMaker_spread,BookMaker_odds,BAS_spread,BAS_odds,Heritage_spread,Heritage_odds,everygame_spread,everygame_odds,JustBET_spread,JustBET_odds,bet105_spread,bet105_odds,WAGERWEB_spread,WAGERWEB_odds,opener_spread,opener_odds
2024,12,FINAL,Sun 11/24,1:00 PM,262,Miami,34,21%,-7.5,-105,-7.5,-105,-7.5,-108,-7.5,-105,-7.5,-108,-7.5,-105,-7.5,-107,,,-7.5,-105,-7.0,-110
2024,12,FINAL OT,Sun 11/24,1:00 PM,255,Minnesota,30,37%,-3.0,-107,-3.0,-105,-3.0,-111,-3.0,-115,-3.0,-108,-3.0,-115,-3.0,-111,,,-3.0,-110,-5.0,-110
2024,12,FINAL OT,Sun 11/24,1:00 PM,256,Chicago,27,63%,3.0,-113,3.0,-115,3.0,-109,3.0,-105,3.0,-108,3.0,-105,3.0,-109,,,3.0,-110,5.0,-110
2024,12,FINAL,Sun 11/24,1:00 PM,253,Kansas City,30,15%,-10.5,-113,-11.0,-110,-10.5,-112,-10.5,-110,-10.5,-108,-10.5,-115,-10.5,-112,,,-11.0,-110,-11.0,-110
2024,12,FINAL,Sun 11/24,1:00 PM,254,Carolina,27,85%,10.5,-107,11.0,-110,10.5,-109,10.5,-110,10.5,-108,10.5,-105,10.5,-109,,,11.0,-110,11.0,-110
2024,12,FINAL,Sun 11/24,1:00 PM,257,Dallas,34,76%,10.5,-110,11.0,-110,10.5,-109,10.5,-105,10.5,-108,10.5,-110,10.5,-109,,,10.5,-110,10.0,-110
2024,12,FINAL,Sun 11/24,1:00 PM,258,Washington,26,24%,-10.5,-110,-11.0,-110,-10.5,-111,-10.5,-115,-10.5,-108,-10.5,-110,-10.5,-111,,,-10.5,-110,-10.0,-110
2024,12,FINAL,Sun 11/24,4:05 PM,265,Denver,29,26%,-5.0,-110,-5.5,-105,-5.5,-115,-5.5,-110,-4.5,-108,-5.5,-110,-5.5,-115,,,-5.0,-110,-3.0,-110
2024,12,FINAL,Sun 11/24,4:05 PM,266,Las Vegas,19,74%,5.0,-110,5.5,-115,5.5,-105,5.5,-110,4.5,-108,5.5,-110,5.5,-105,,,5.0,-110,3.0,-110
2024,12,FINAL,Sun 11/24,4:25 PM,267,Arizona,6,44%,-1.0,-110,-1.0,-105,-1.5,-110,-1.0,-115,-1.5,-108,-1.0,-115,-1.5,-110,,,-1.5,-110,1.0,-110
2024,12,FINAL,Sun 11/24,4:25 PM,268,Seattle,16,56%,1.0,-110,1.0,-115,1.5,-110,1.0,-105,1.5,-108,1.0,-105,1.5,-110,,,1.5,-110,-1.0,-110
2024,12,FINAL,Sun 11/24,4:25 PM,269,San Francisco,10,60%,6.0,-110,6.5,-105,6.0,-105,6.0,-105,6.0,-108,6.0,-105,6.0,-105,,,6.0,-106,-1.0,-110
2024,12,FINAL,Sun 11/24,4:25 PM,270,Green Bay,38,40%,-6.0,-110,-6.5,-115,-6.0,-115,-6.0,-115,-6.0,-108,-6.0,-115,-6.0,-115,,,-6.0,-114,1.0,-110
2024,12,FINAL,Sun 11/24,8:20 PM,271,Philadelphia,37,37%,-3.0,-105,-3.0,-115,-3.0,-102,-3.0,-102,-3.0,-108,-3.0,-105,-3.0,-102,,,-3.0,-104,-3.0,-110
2024,12,FINAL,Sun 11/24,8:20 PM,272,L.A. Rams,20,63%,3.0,-115,3.0,-105,3.0,-118,3.0,-118,3.0,-108,3.0,-115,3.0,-118,,,3.0,-116,3.0,-110
2024,12,FINAL,Thu 11/21,8:15 PM,111,Pittsburgh,19,27%,-3.5,-110,-3.5,-115,-3.5,-115,-3.5,-110,-3.5,-108,-3.5,-110,-3.5,-115,,,-3.5,-113,-4.0,+100
2024,12,FINAL,Thu 11/21,8:15 PM,112,Cleveland,24,73%,3.5,-110,3.5,-105,3.5,-105,3.5,-110,3.5,-108,3.5,-110,3.5,-105,,,3.5,-107,4.0,-120
2024,13,FINAL,Mon 12/2,8:15 PM,483,Cleveland,32,69%,6.0,-110,6.0,-110,6.5,-115,6.5,-115,6.0,-108,6.5,-115,6.5,-115,,,6.0,-107,6.5,-110
2024,13,FINAL,Mon 12/2,8:15 PM,484,Denver,41,31%,-6.0,-110,-6.0,-110,-6.5,-105,-6.5,-105,-6.0,-108,-6.5,-105,-6.5,-105,,,-6.0,-113,-6.5,-110
2024,13,FINAL,Sun 12/1,1:00 PM,473,Seattle,26,24%,1.5,-105,1.5,-110,1.0,-110,1.5,-115,2.0,-108,1.0,-105,1.0,-110,,,2.0,-110,1.0,-105
2024,13,FINAL,Sun 12/1,1:00 PM,474,N.Y. Jets,21,76%,-1.5,-115,-1.5,-110,-1.0,-110,-1.5,-105,-2.0,-108,-1.0,-115,-1.0,-110,,,-2.0,-110,-1.0,-115
2024,13,FINAL,Sun 12/1,1:00 PM,465,Pittsburgh,44,41%,3.0,-106,3.0,+105,3.0,-106,3.0,-110,3.0,-108,3.0,-105,3.0,-106,,,3.0,-110,2.0,-110
