game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds
4407013,1519,2021,1,Pittsburgh,Sun 9/12,1:00 PM,23,FINAL,453,240.0,6.0,-110.0,51.5,-110.0,100.0,60.0,85.71,60.0,75.0,0.0,225.0,6.5,-115.0,48.0,-105.0,232.0,6.5,-110.0,48.0,103.0,230.0,6.0,-105.0,47.0,-120.0,240.0,6.5,-110.0,47.5,-110.0,235.0,6.5,-110.0,47.5,-110.0,240.0,6.5,-108.0,47.5,-108.0,226.0,6.5,-113.0,48.0,-107.0,230.0,6.5,-115.0,47.5,-110.0,230.0,6.0,-105.0,47.5,-110.0,-135.0,-6.5,-150.0,41.5,113.0
4407013,1526,2021,1,Buffalo,Sun 9/12,1:00 PM,16,FINAL,454,-285.0,-6.0,-110.0,51.5,-110.0,0.0,0.0,14.29,10.0,25.0,0.0,-275.0,-6.5,-105.0,48.0,-115.0,-267.0,-6.5,-100.0,48.0,-114.0,-270.0,-6.0,-115.0,47.0,100.0,-280.0,-6.5,-110.0,47.5,-110.0,-275.0,-6.5,-110.0,47.5,-110.0,-290.0,-6.5,-108.0,47.5,-108.0,-276.0,-6.5,-107.0,48.0,-113.0,-280.0,-6.5,-105.0,47.5,-110.0,-270.0,-6.0,-115.0,47.5,-110.0,115.0,6.5,130.0,41.5,-133.0
4407016,1547,2021,1,San Francisco,Sun 9/12,1:00 PM,41,FINAL,469,-475.0,-8.0,-110.0,45.5,-110.0,0.0,0.0,33.33,10.0,57.14,0.0,-460.0,-9.5,-115.0,46.0,-110.0,-415.0,-9.5,-105.0,46.0,-108.0,-418.0,-9.5,-105.0,46.0,-105.0,-430.0,-9.5,-110.0,46.5,-110.0,-440.0,-9.5,-110.0,46.0,-110.0,-475.0,-9.5,-108.0,46.5,-108.0,-430.0,-9.5,-109.0,46.0,-111.0,-440.0,-9.5,-110.0,46.0,-110.0,-418.0,-9.5,-110.0,47.0,-105.0,-1900.0,-24.0,188.0,58.5,-174.0
4407016,1539,2021,1,Detroit,Sun 9/12,1:00 PM,33,FINAL,470,385.0,8.0,-110.0,45.5,-110.0,100.0,20.0,66.67,20.0,42.86,0.0,340.0,9.5,-105.0,46.0,-110.0,344.0,9.5,-105.0,46.0,-103.0,343.0,9.5,-115.0,46.0,-115.0,335.0,9.5,-110.0,46.5,-110.0,360.0,9.5,-110.0,46.0,-110.0,375.0,9.5,-108.0,46.5,-108.0,340.0,9.5,-111.0,46.0,-109.0,340.0,9.5,-110.0,46.0,-110.0,343.0,9.5,-110.0,47.0,-115.0,1150.0,24.0,-233.0,58.5,154.0
4407017,75380,2021,1,L.A. Chargers,Sun 9/12,1:00 PM,20,FINAL,461,-125.0,-1.5,-110.0,45.5,-110.0,50.0,20.0,50.0,10.0,33.33,0.0,115.0,2.5,-110.0,45.5,-110.0,117.0,2.5,-109.0,45.5,103.0,120.0,2.0,-110.0,45.5,-110.0,115.0,2.5,-115.0,45.0,-110.0,110.0,2.0,-110.0,45.5,-110.0,110.0,2.0,-108.0,45.5,-108.0,106.0,2.0,-111.0,45.5,-108.0,115.0,2.0,-105.0,45.5,-110.0,120.0,2.0,-110.0,45.5,-110.0,-250.0,-3.5,-170.0,36.5,-217.0
4407017,1537,2021,1,Washington,Sun 9/12,1:00 PM,16,FINAL,462,105.0,1.5,-110.0,45.5,-110.0,50.0,20.0,50.0,10.0,66.67,0.0,-135.0,-2.5,-110.0,45.5,-110.0,-129.0,-2.5,-101.0,45.5,-115.0,-140.0,-2.0,-110.0,45.5,-110.0,-135.0,-2.5,-105.0,45.0,-110.0,-130.0,-2.0,-110.0,45.5,-110.0,-130.0,-2.0,-108.0,45.5,-108.0,-126.0,-2.0,-109.0,45.5,-112.0,-135.0,-2.0,-115.0,45.5,-110.0,-140.0,-2.0,-110.0,45.5,-110.0,205.0,3.5,150.0,36.5,177.0
4407018,1523,2021,1,N.Y. Jets,Sun 9/12,1:00 PM,14,FINAL,455,175.0,3.5,-110.0,43.0,-110.0,100.0,20.0,100.0,30.0,20.0,0.0,160.0,3.5,-110.0,45.0,-105.0,164.0,3.5,-108.0,44.5,-104.0,158.0,3.5,-115.0,44.5,-110.0,160.0,3.5,-115.0,44.5,-110.0,160.0,3.5,-115.0,44.5,-110.0,155.0,3.5,-108.0,45.0,-108.0,158.0,3.5,-113.0,44.5,-109.0,160.0,3.5,-115.0,44.5,-110.0,158.0,3.5,-110.0,44.5,-110.0,685.0,10.5,-136.0,35.5,165.0
4407018,1545,2021,1,Carolina,Sun 9/12,1:00 PM,19,FINAL,456,-205.0,-3.5,-110.0,43.0,-110.0,0.0,0.0,0.0,0.0,80.0,0.0,-185.0,-3.5,-110.0,45.0,-115.0,-184.0,-3.5,-102.0,44.5,-107.0,-178.0,-3.5,-105.0,44.5,-110.0,-180.0,-3.5,-105.0,44.5,-110.0,-180.0,-3.5,-105.0,44.5,-110.0,-180.0,-3.5,-108.0,45.0,-108.0,-183.0,-3.5,-107.0,44.5,-111.0,-190.0,-3.5,-105.0,44.5,-110.0,-178.0,-3.5,-110.0,44.5,-110.0,-1050.0,-10.5,116.0,35.5,-190.0
4407021,1536,2021,1,Philadelphia,Sun 9/12,1:00 PM,32,FINAL,463,175.0,3.5,-110.0,46.0,-110.0,66.67,20.0,0.0,0.0,0.0,0.0,145.0,3.5,-125.0,49.0,-110.0,161.0,3.5,-109.0,49.0,-103.0,155.0,3.0,100.0,48.5,-110.0,155.0,3.5,-115.0,48.5,-110.0,160.0,3.5,-115.0,48.5,-110.0,150.0,3.5,-118.0,48.5,-108.0,152.0,3.5,-116.0,48.5,-112.0,155.0,3.5,-115.0,48.5,-110.0,155.0,3.0,100.0,48.5,-110.0,-2000.0,-15.5,124.0,37.5,-105.0
4407021,1546,2021,1,Atlanta,Sun 9/12,1:00 PM,6,FINAL,464,-205.0,-3.5,-110.0,46.0,-110.0,33.33,10.0,100.0,60.0,100.0,0.0,-170.0,-3.5,105.0,49.0,-110.0,-180.0,-3.5,-101.0,49.0,-108.0,-175.0,-3.0,-120.0,48.5,-110.0,-175.0,-3.5,-105.0,48.5,-110.0,-180.0,-3.5,-105.0,48.5,-110.0,-170.0,-3.5,102.0,48.5,-108.0,-172.0,-3.5,-104.0,48.5,-108.0,-185.0,-3.5,-105.0,48.5,-110.0,-175.0,-3.0,-120.0,48.5,-110.0,1250.0,15.5,-144.0,37.5,-115.0
