eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds,123_ml,123_spr,123_spr_odds,123_ou,123_ou_odds
4407429,1546,323,2021,15,Sun 12/19,4:05 PM,Atlanta,13,FINAL,80.0,120.0,62.5,50.0,16.67,0.0,300.0,7.5,-110.0,45.5,-110.0,320.0,9.0,-113.0,48.0,-115.0,300.0,9.0,-115.0,48.0,-115.0,315.0,9.5,-116.0,48.0,-109.0,315.0,9.5,-120.0,48.0,-113.0,310.0,9.0,-110.0,48.0,-110.0,330.0,9.0,-110.0,48.0,-110.0,360.0,9.0,-108.0,48.0,-108.0,352.0,9.0,-111.0,48.0,-111.0,310.0,9.0,-110.0,48.0,-110.0,315.0,9.5,-120.0,48.0,-113.0,335.0,9.0,-115.0,47.5,-110.0
4407429,1547,324,2021,15,,,San Francisco,31,,20.0,30.0,37.5,30.0,83.33,0.0,-370.0,-7.5,-110.0,45.5,-110.0,-400.0,-9.0,-107.0,48.0,-105.0,-395.0,-9.0,-105.0,48.0,-105.0,-375.0,-9.5,104.0,48.0,-102.0,-375.0,-9.5,100.0,48.0,-107.0,-390.0,-9.0,-110.0,48.0,-110.0,-410.0,-9.0,-110.0,48.0,-110.0,-450.0,-9.0,-108.0,48.0,-108.0,-442.0,-9.0,-109.0,48.0,-109.0,-400.0,-9.0,-110.0,48.0,-110.0,-375.0,-9.5,100.0,48.0,-107.0,-390.0,-9.0,-105.0,47.5,-110.0
4407432,1522,325,2021,15,Sun 12/19,4:05 PM,Cincinnati,15,FINAL,40.0,60.0,42.86,30.0,20.0,0.0,105.0,-3.0,-110.0,44.5,-110.0,134.0,3.0,-116.0,44.0,-110.0,115.0,3.0,-125.0,44.0,-115.0,130.0,3.0,-116.0,44.0,-106.0,125.0,3.0,-123.0,44.0,-111.0,130.0,3.0,-120.0,44.0,-115.0,125.0,3.0,-120.0,44.0,-110.0,130.0,3.0,-118.0,44.0,-108.0,130.0,3.0,-119.0,44.0,-110.0,130.0,3.0,-115.0,44.0,-110.0,125.0,3.0,-123.0,44.0,-111.0,125.0,3.0,-120.0,44.0,-110.0
4407432,1534,326,2021,15,,,Denver,10,,60.0,90.0,57.14,40.0,80.0,0.0,-125.0,3.0,-110.0,44.5,-110.0,-154.0,-3.0,-104.0,44.0,-110.0,-135.0,-3.0,105.0,44.0,-105.0,-145.0,-3.0,104.0,44.0,-105.0,-145.0,-3.0,103.0,44.0,-109.0,-150.0,-3.0,100.0,44.0,-105.0,-145.0,-3.0,100.0,44.0,-110.0,-150.0,-3.0,102.0,44.0,-108.0,-150.0,-3.0,-101.0,44.0,-110.0,-150.0,-3.0,-105.0,44.0,-110.0,-145.0,-3.0,103.0,44.0,-109.0,-145.0,-3.0,100.0,44.0,-110.0
4407424,1542,315,2021,15,Sun 12/19,4:25 PM,Green Bay,31,FINAL,50.0,30.0,60.0,60.0,60.0,0.0,-300.0,-2.0,-110.0,45.5,-110.0,-365.0,-9.5,-105.0,45.5,-110.0,-435.0,-9.0,-110.0,45.5,-110.0,-387.0,-9.5,-107.0,45.5,-102.0,-375.0,-9.5,-105.0,45.5,-110.0,-400.0,-9.0,-110.0,45.5,-110.0,-370.0,-9.0,-110.0,45.0,-110.0,-435.0,-9.0,-108.0,45.5,-108.0,-403.0,-9.0,-110.0,45.0,-113.0,-425.0,-9.0,-110.0,45.5,-110.0,-375.0,-9.5,-105.0,45.5,-110.0,-380.0,-9.5,-110.0,45.0,-110.0
4407424,1521,316,2021,15,,,Baltimore,30,,50.0,30.0,40.0,40.0,40.0,0.0,250.0,2.0,-110.0,45.5,-110.0,295.0,9.5,-115.0,45.5,-110.0,325.0,9.0,-110.0,45.5,-110.0,324.0,9.5,-104.0,45.5,-109.0,315.0,9.5,-115.0,45.5,-110.0,315.0,9.0,-110.0,45.5,-110.0,305.0,9.0,-110.0,45.0,-110.0,345.0,9.0,-108.0,45.5,-108.0,323.0,9.0,-110.0,45.0,-107.0,310.0,9.0,-110.0,45.5,-110.0,315.0,9.5,-115.0,45.5,-110.0,325.0,9.5,-110.0,45.0,-110.0
4407430,1543,329,2021,15,Sun 12/19,8:20 PM,New Orleans,9,FINAL,64.0,160.0,63.16,240.0,37.5,0.0,405.0,11.5,-110.0,48.0,-110.0,455.0,11.5,-106.0,46.0,-108.0,445.0,11.5,-110.0,46.0,-110.0,432.0,11.5,-101.0,45.5,-107.0,417.0,11.5,-109.0,45.5,-112.0,410.0,11.5,-110.0,46.0,-110.0,425.0,11.5,-110.0,45.5,-110.0,495.0,12.0,-108.0,46.0,-108.0,470.0,12.0,-111.0,45.5,-113.0,400.0,11.5,-105.0,46.0,-110.0,417.0,11.5,-109.0,45.5,-112.0,435.0,11.5,-110.0,46.0,-110.0
4407430,1544,330,2021,15,,,Tampa Bay,0,,36.0,90.0,36.84,140.0,62.5,0.0,-510.0,-11.5,-110.0,48.0,-110.0,-575.0,-11.5,-114.0,46.0,-112.0,-655.0,-11.5,-110.0,46.0,-110.0,-540.0,-11.5,-110.0,45.5,-104.0,-537.0,-11.5,-111.0,45.5,-108.0,-550.0,-11.5,-110.0,46.0,-110.0,-550.0,-11.5,-110.0,45.5,-110.0,-645.0,-12.0,-108.0,46.0,-108.0,-620.0,-12.0,-109.0,45.5,-107.0,-600.0,-11.5,-115.0,46.0,-110.0,-537.0,-11.5,-111.0,45.5,-108.0,-550.0,-11.5,-110.0,46.0,-110.0
4407431,1525,311,2021,15,Sat 12/18,8:15 PM,New England,17,FINAL,22.22,40.0,37.04,100.0,22.22,0.0,102.0,-2.5,100.0,44.5,-110.0,100.0,1.5,-110.0,46.0,-117.0,-105.0,1.0,-110.0,47.0,-110.0,-101.0,1.0,-111.0,47.0,-104.0,100.0,1.0,-110.0,46.5,-110.0,100.0,1.0,-115.0,46.5,-110.0,105.0,1.5,-110.0,46.0,-110.0,-110.0,1.0,-108.0,47.5,-108.0,-102.0,0.0,-108.0,46.5,-111.0,100.0,2.0,-115.0,47.0,-115.0,100.0,1.0,-110.0,46.5,-110.0,-102.0,1.0,-110.0,46.5,-110.0
4407431,1527,312,2021,15,,,Indianapolis,27,,77.78,140.0,62.96,170.0,77.78,0.0,-122.0,2.5,-120.0,44.5,-110.0,-120.0,-1.5,-110.0,46.0,-103.0,-115.0,-1.0,-110.0,47.0,-110.0,-111.0,-1.0,-100.0,47.0,-107.0,-120.0,-1.0,-110.0,46.5,-110.0,-120.0,-1.0,-105.0,46.5,-110.0,-125.0,-1.5,-110.0,46.0,-110.0,-110.0,-1.0,-108.0,47.5,-108.0,-118.0,0.0,-112.0,46.5,-109.0,-120.0,-2.0,-105.0,47.0,-105.0,-120.0,-1.0,-110.0,46.5,-110.0,-118.0,-1.0,-110.0,46.5,-110.0
4407427,1531,301,2021,15,Thu 12/16,8:20 PM,Kansas City,34,FINAL OT,28.57,60.0,60.0,90.0,50.0,0.0,-173.0,-3.0,105.0,48.5,-105.0,-173.0,-3.0,-120.0,53.5,-113.0,-165.0,-3.0,-115.0,52.0,-110.0,-176.0,-3.0,-120.0,54.0,-116.0,-169.0,-3.0,-120.0,54.0,-110.0,-175.0,-3.0,-120.0,54.0,-110.0,-170.0,-3.0,-120.0,54.0,-110.0,-170.0,-3.0,-118.0,54.0,-108.0,-167.0,-3.0,-119.0,54.0,-112.0,-180.0,-3.0,-120.0,54.5,-115.0,-169.0,-3.0,-120.0,54.0,-110.0,-170.0,-3.0,-120.0,54.0,-110.0
4407427,75380,302,2021,15,,,L.A. Chargers,28,,71.43,150.0,40.0,60.0,50.0,0.0,153.0,3.0,-125.0,48.5,-115.0,153.0,3.0,100.0,53.5,-107.0,140.0,3.0,-105.0,52.0,-110.0,158.0,3.0,108.0,54.0,104.0,149.0,3.0,100.0,54.0,-110.0,155.0,3.0,100.0,54.0,-110.0,150.0,3.0,100.0,54.0,-110.0,150.0,3.0,102.0,54.0,-108.0,147.0,3.0,-101.0,54.0,-108.0,150.0,3.0,100.0,54.5,-105.0,149.0,3.0,100.0,54.0,-110.0,150.0,3.0,100.0,54.0,-110.0
