game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds
3778759,1522,2019,14,Cincinnati,Sun 12/8,1:00 PM,19,FINAL,139,300.0,10.5,-110.0,43.0,-110.0,71.0,870.0,56.0,3760.0,48.0,620.0,230.0,6.5,-117.0,43.0,-116.0,250.0,7.0,-130.0,43.5,-115.0,230.0,6.5,-120.0,43.5,-111.0,230.0,6.5,-120.0,43.5,-111.0,234.0,6.5,-112.0,43.0,-118.0,238.0,6.5,-110.0,43.5,-110.0,240.0,6.5,-115.0,43.5,-110.0,240.0,6.5,-110.0,43.5,-110.0,240.0,6.5,-105.0,43.5,-105.0,233.0,6.5,-115.0,43.5,-110.0,305.0,8.5,-110.0,40.5,-110.0,238.0,6.5,-110.0,43.5,-110.0
3778759,1520,2019,14,Cleveland,Sun 12/8,1:00 PM,27,FINAL,140,-360.0,-10.5,-110.0,43.0,-110.0,29.0,360.0,44.0,2980.0,52.0,670.0,-280.0,-6.5,-103.0,43.0,-104.0,-300.0,-7.0,110.0,43.5,-105.0,-280.0,-6.5,100.0,43.5,-108.0,-280.0,-6.5,100.0,43.5,-108.0,-269.0,-6.5,101.0,43.0,106.0,-288.0,-6.5,-110.0,43.5,-110.0,-280.0,-6.5,-105.0,43.5,-110.0,-280.0,-6.5,-110.0,43.5,-110.0,-290.0,-6.5,-105.0,43.5,-105.0,-283.0,-6.5,-105.0,43.5,-110.0,-365.0,-8.5,-110.0,40.5,-110.0,-288.0,-6.5,-110.0,43.5,-110.0
3778760,1527,2019,14,Indianapolis,Sun 12/8,1:00 PM,35,FINAL,147,155.0,0.0,-105.0,50.5,-110.0,65.0,870.0,50.0,2680.0,59.0,550.0,150.0,3.0,-104.0,46.5,-110.0,150.0,3.0,105.0,47.0,-115.0,151.0,3.0,-105.0,46.5,-106.0,151.0,3.0,-105.0,46.5,-106.0,149.0,3.0,101.0,46.5,-105.0,148.0,3.0,100.0,47.0,-110.0,150.0,3.0,100.0,46.5,-110.0,150.0,3.0,-105.0,46.5,-110.0,145.0,3.0,105.0,46.5,-105.0,153.0,3.0,100.0,46.5,-112.0,130.0,3.0,-120.0,47.0,-110.0,148.0,3.0,100.0,47.0,-110.0
3778760,1544,2019,14,Tampa Bay,Sun 12/8,1:00 PM,38,FINAL,148,-175.0,0.0,-115.0,50.5,-110.0,35.0,460.0,50.0,2670.0,41.0,390.0,-170.0,-3.0,-116.0,46.5,-110.0,-170.0,-3.0,-125.0,47.0,-105.0,-175.0,-3.0,-115.0,46.5,-114.0,-175.0,-3.0,-115.0,46.5,-114.0,-166.0,-3.0,-111.0,46.5,-106.0,-168.0,-3.0,-120.0,47.0,-110.0,-170.0,-3.0,-120.0,46.5,-110.0,-170.0,-3.0,-115.0,46.5,-110.0,-165.0,-3.0,-115.0,46.5,-105.0,-173.0,-3.0,-120.0,46.5,-108.0,-150.0,-3.0,100.0,47.0,-110.0,-168.0,-3.0,-120.0,47.0,-110.0
3778763,1534,2019,14,Denver,Sun 12/8,1:00 PM,38,FINAL,135,405.0,7.5,-115.0,41.0,-110.0,64.0,560.0,57.0,2660.0,32.0,340.0,320.0,8.0,-109.0,42.5,-110.0,310.0,8.0,-110.0,42.5,-110.0,317.0,8.0,-110.0,42.5,-105.0,317.0,8.0,-110.0,42.5,-105.0,325.0,8.0,-103.0,42.5,-105.0,333.0,9.0,-120.0,42.5,-110.0,315.0,8.0,-110.0,42.5,-110.0,330.0,8.0,-110.0,42.5,-110.0,340.0,8.5,-105.0,42.5,-105.0,328.0,8.0,-109.0,42.5,-112.0,330.0,9.0,-110.0,42.5,-110.0,333.0,9.0,-120.0,42.5,-110.0
3778763,1530,2019,14,Houston,Sun 12/8,1:00 PM,24,FINAL,136,-500.0,-7.5,-105.0,41.0,-110.0,36.0,310.0,43.0,2000.0,68.0,710.0,-405.0,-8.0,-111.0,42.5,-110.0,-420.0,-8.0,-110.0,42.5,-110.0,-400.0,-8.0,-110.0,42.5,-115.0,-400.0,-8.0,-110.0,42.5,-115.0,-389.0,-8.0,-107.0,42.5,-106.0,-408.0,-9.0,100.0,42.5,-110.0,-400.0,-8.0,-110.0,42.5,-110.0,-410.0,-8.0,-110.0,42.5,-110.0,-430.0,-8.5,-105.0,42.5,-105.0,-408.0,-8.0,-111.0,42.5,-108.0,-410.0,-9.0,-110.0,42.5,-110.0,-408.0,-9.0,100.0,42.5,-110.0
3778764,1524,2019,14,Miami,Sun 12/8,1:00 PM,21,FINAL,145,210.0,7.5,-110.0,44.0,-110.0,67.0,440.0,54.0,440.0,40.0,330.0,190.0,5.0,-110.0,46.5,-115.0,180.0,5.0,-110.0,47.0,-115.0,184.0,4.5,-106.0,47.0,-111.0,184.0,4.5,-106.0,47.0,-111.0,189.0,5.0,-110.0,47.0,-102.0,185.0,4.5,100.0,47.0,-110.0,190.0,5.0,-110.0,47.0,-110.0,195.0,5.0,-110.0,47.0,-110.0,185.0,5.0,-105.0,47.0,-105.0,189.0,5.0,-112.0,46.5,-113.0,195.0,5.5,-110.0,45.0,-110.0,185.0,4.5,100.0,47.0,-110.0
3778764,1523,2019,14,N.Y. Jets,Sun 12/8,1:00 PM,22,FINAL,146,-250.0,-7.5,-110.0,44.0,-110.0,33.0,220.0,46.0,370.0,60.0,500.0,-220.0,-5.0,-110.0,46.5,-105.0,-220.0,-5.0,-110.0,47.0,-105.0,-220.0,-4.5,-114.0,47.0,-109.0,-220.0,-4.5,-114.0,47.0,-109.0,-213.0,-5.0,100.0,47.0,-109.0,-225.0,-4.5,-120.0,47.0,-110.0,-230.0,-5.0,-110.0,47.0,-110.0,-230.0,-5.0,-110.0,47.0,-110.0,-220.0,-5.0,-105.0,47.0,-105.0,-224.0,-5.0,-108.0,46.5,-107.0,-235.0,-5.5,-110.0,45.0,-110.0,-225.0,-4.5,-120.0,47.0,-110.0
3778766,1521,2019,14,Baltimore,Sun 12/8,1:00 PM,24,FINAL,131,-225.0,-7.0,-110.0,43.0,-110.0,47.0,1010.0,59.0,7370.0,61.0,1520.0,-285.0,-6.0,-115.0,44.0,-108.0,-290.0,-6.5,-110.0,44.5,-105.0,-285.0,-6.5,-112.0,43.5,-111.0,-285.0,-6.5,-112.0,43.5,-111.0,-264.0,-6.5,100.0,44.0,-104.0,-270.0,-6.5,100.0,44.0,-110.0,-270.0,-6.0,-115.0,44.0,-110.0,-275.0,-6.0,-110.0,44.0,-110.0,-280.0,-6.5,-105.0,44.0,-105.0,-273.0,-6.0,-112.0,44.0,-109.0,-250.0,-6.5,-105.0,43.5,-115.0,-270.0,-6.5,100.0,44.0,-110.0
3778766,1526,2019,14,Buffalo,Sun 12/8,1:00 PM,17,FINAL,132,195.0,7.0,-110.0,43.0,-110.0,53.0,1120.0,41.0,5220.0,39.0,980.0,235.0,6.0,-105.0,44.0,-112.0,240.0,6.5,-110.0,44.5,-115.0,203.0,6.5,-117.0,43.5,-118.0,203.0,6.5,-117.0,43.5,-118.0,230.0,6.5,-110.0,44.0,-107.0,230.0,6.5,-120.0,44.0,-110.0,230.0,6.0,-105.0,44.0,-110.0,235.0,6.0,-110.0,44.0,-110.0,230.0,6.5,-105.0,44.0,-105.0,223.0,6.0,-108.0,44.0,-111.0,210.0,6.5,-115.0,43.5,-105.0,230.0,6.5,-120.0,44.0,-110.0
3778765,75380,2019,14,L.A. Chargers,Sun 12/8,4:05 PM,45,FINAL,149,-150.0,-1.0,-110.0,44.5,-110.0,38.0,1850.0,49.0,12730.0,49.0,3770.0,-184.0,-3.0,-130.0,42.0,-110.0,-180.0,-3.5,-105.0,42.0,-110.0,-190.0,-3.5,-111.0,39.5,-115.0,-190.0,-3.5,-111.0,39.5,-115.0,-179.0,-3.5,-101.0,42.0,-105.0,-182.0,-3.5,100.0,42.0,-110.0,-180.0,-3.5,-105.0,41.5,-110.0,-180.0,-3.0,-130.0,42.0,-110.0,-185.0,-3.0,-125.0,41.5,-105.0,-182.0,-3.0,-129.0,41.5,-110.0,-165.0,-3.0,-115.0,43.0,-110.0,-182.0,-3.5,100.0,42.0,-110.0
3778765,1529,2019,14,Jacksonville,Sun 12/8,4:05 PM,10,FINAL,150,130.0,1.0,-110.0,44.5,-110.0,62.0,2980.0,51.0,13490.0,51.0,3880.0,164.0,3.0,110.0,42.0,-110.0,160.0,3.5,-115.0,42.0,-110.0,141.0,3.5,-118.0,39.5,-115.0,141.0,3.5,-118.0,39.5,-115.0,160.0,3.5,-110.0,42.0,-106.0,162.0,3.5,-120.0,42.0,-110.0,160.0,3.5,-115.0,41.5,-110.0,160.0,3.0,110.0,42.0,-110.0,160.0,3.0,115.0,41.5,-105.0,157.0,3.0,109.0,41.5,-110.0,145.0,3.0,-105.0,43.0,-110.0,162.0,3.5,-120.0,42.0,-110.0
3778753,1528,2019,14,Tennessee,Sun 12/8,4:25 PM,42,FINAL,155,-150.0,0.0,-110.0,46.5,-110.0,51.0,3980.0,54.0,28150.0,51.0,6300.0,-152.0,-3.0,-104.0,47.0,-108.0,-150.0,-3.0,-105.0,47.0,-110.0,-232.0,-5.0,-115.0,46.0,-116.0,-232.0,-5.0,-115.0,46.0,-116.0,-152.0,-3.0,100.0,47.0,-106.0,-150.0,-3.0,100.0,47.0,-110.0,-150.0,-3.0,-105.0,47.0,-110.0,-150.0,-3.0,100.0,47.0,-110.0,-150.0,-2.5,-120.0,47.0,-105.0,-145.0,-2.5,-123.0,47.0,-110.0,-145.0,-3.0,-105.0,47.0,-110.0,-150.0,-3.0,100.0,47.0,-110.0
3778753,1533,2019,14,Oakland,Sun 12/8,4:25 PM,21,FINAL,156,130.0,0.0,-110.0,46.5,-110.0,49.0,3790.0,46.0,24440.0,49.0,5960.0,132.0,3.0,-116.0,47.0,-112.0,130.0,3.0,-115.0,47.0,-110.0,169.0,5.0,-115.0,46.0,-113.0,169.0,5.0,-115.0,46.0,-113.0,137.0,3.0,-111.0,47.0,-105.0,130.0,3.0,-120.0,47.0,-110.0,130.0,3.0,-115.0,47.0,-110.0,130.0,3.0,-120.0,47.0,-110.0,130.0,2.5,110.0,47.0,-105.0,125.0,2.5,103.0,47.0,-110.0,125.0,3.0,-115.0,47.0,-110.0,130.0,3.0,-120.0,47.0,-110.0
