eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_29,adj_36,adj_44,adj_54,adj_82,ap_8,ap_9,ap_10,ap_16,ap_20,ap_29,ap_36,ap_44,ap_54,ap_82,perc,opening_adj,opening_ap
3452826,253,2018,12,Sun 11/25,1:00 PM,Oakland,17,FINAL,1533,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.5,12.5,13.0,-114.0,-120.0,-115.0,-115.0,-115.0,-115.0,-116.0,-105.0,-111.0,-120.0,56.82,10.5,-110
3452826,254,2018,12,,,Baltimore,34,,1521,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-12.5,-12.5,-13.0,-106.0,100.0,-105.0,-105.0,103.0,-105.0,-105.0,-105.0,-109.0,100.0,43.18,-10.5,-110
3452827,257,2018,12,Sun 11/25,1:00 PM,N.Y. Giants,22,FINAL,1535,4.5,5.0,5.0,5.0,4.5,5.0,5.0,4.5,4.5,5.0,-105.0,-110.0,-110.0,-110.0,-103.0,-110.0,-110.0,-105.0,-106.0,100.0,50.06,6.5,-110
3452827,258,2018,12,,,Philadelphia,25,,1536,-4.5,-5.0,-5.0,-5.0,-4.5,-5.0,-5.0,-4.5,-4.5,-5.0,-115.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-105.0,-114.0,-120.0,49.94,-6.5,-110
3452829,259,2018,12,Sun 11/25,1:00 PM,Cleveland,35,FINAL,1520,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-117.0,-110.0,-115.0,-115.0,-105.0,-110.0,-116.0,-105.0,-112.0,-115.0,50.71,3.0,-102
3452829,260,2018,12,,,Cincinnati,20,,1522,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-103.0,-110.0,-105.0,-105.0,-105.0,-110.0,-105.0,-105.0,-108.0,-105.0,49.29,-3.0,-118
3452830,267,2018,12,Sun 11/25,4:05 PM,Arizona,10,FINAL,1549,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,-105.0,-110.0,-105.0,-105.0,-103.0,-110.0,-116.0,-105.0,-107.0,-110.0,49.59,11.5,-110
3452830,268,2018,12,,,L.A. Chargers,45,,75380,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-115.0,-110.0,-116.0,-116.0,-108.0,-110.0,-105.0,-105.0,-113.0,-110.0,50.41,-11.5,-110
3452828,265,2018,12,Sun 11/25,4:25 PM,Miami,24,FINAL,1524,9.0,9.0,9.0,9.0,9.0,9.0,8.5,9.0,9.0,9.0,-110.0,-110.0,-110.0,-110.0,-103.0,-110.0,-116.0,-105.0,-111.0,-105.0,47.19,8.0,-110
3452828,266,2018,12,,,Indianapolis,27,,1527,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-8.5,-9.0,-9.0,-9.0,-110.0,-110.0,-110.0,-110.0,-108.0,-110.0,-105.0,-105.0,-109.0,-115.0,52.81,-8.0,-110
3452831,269,2018,12,Sun 11/25,4:25 PM,Pittsburgh,17,FINAL,1519,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-117.0,-105.0,-122.0,-122.0,-110.0,-115.0,-116.0,-110.0,-117.0,-105.0,57.68,-5.5,-105
3452831,270,2018,12,,,Denver,24,,1534,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,-103.0,-115.0,101.0,101.0,-101.0,-105.0,-105.0,100.0,-103.0,-115.0,42.32,5.5,-115
3452832,271,2018,12,Sun 11/25,8:20 PM,Green Bay,17,FINAL,1542,3.5,3.0,3.5,3.5,4.0,3.5,3.5,3.5,3.5,3.5,-104.0,110.0,-101.0,-101.0,-108.0,-110.0,-110.0,-105.0,-109.0,-110.0,51.9,5.5,-108
3452832,272,2018,12,,,Minnesota,24,,1541,-3.5,-3.0,-3.5,-3.5,-4.0,-3.5,-3.5,-3.5,-3.5,-3.5,-116.0,-130.0,-119.0,-119.0,-103.0,-110.0,-110.0,-105.0,-111.0,-110.0,48.1,-5.5,-112
3452819,105,2018,12,Thu 11/22,12:30 PM,Chicago,23,FINAL,1540,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-113.0,-120.0,-115.0,-115.0,-114.0,-120.0,-120.0,-115.0,-121.0,-125.0,47.48,-3.0,-120
3452819,106,2018,12,,,Detroit,16,,1539,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-107.0,100.0,-105.0,-105.0,102.0,100.0,100.0,105.0,101.0,105.0,52.52,3.0,100
3452820,107,2018,12,Thu 11/22,4:30 PM,Washington,23,FINAL,1537,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-110.0,-110.0,-110.0,-110.0,-108.0,-110.0,-116.0,-105.0,-112.0,-115.0,55.31,4.5,-105
3452820,108,2018,12,,,Dallas,31,,1538,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-110.0,-110.0,-110.0,-110.0,-103.0,-110.0,-105.0,-105.0,-108.0,-105.0,44.69,-4.5,-115
3452821,109,2018,12,Thu 11/22,8:20 PM,Atlanta,17,FINAL,1546,12.0,13.5,13.0,13.0,11.5,13.0,12.5,12.5,12.5,13.0,-115.0,-115.0,-115.0,-115.0,-101.0,-125.0,-110.0,-105.0,-111.0,-110.0,46.91,10.0,-110
3452821,110,2018,12,,,New Orleans,31,,1543,-12.0,-13.5,-13.0,-13.0,-11.5,-13.0,-12.5,-12.5,-12.5,-13.0,-105.0,-105.0,-105.0,-105.0,-110.0,105.0,-110.0,-105.0,-109.0,-110.0,53.09,-10.0,-110
