eid,season,week,date,time,team,rotation,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,perc,opening_adj,opening_ap
3452662,2018,1,Sun 9/9,1:00 PM,Cincinnati,457,34,FINAL,1522.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.5,0.0,-105.0,-110.0,-115.0,-115.0,102.0,-110.0,-105.0,-110.0,-105.0,-112.0,-110.0,-110.0,66.36,1.5,-110.0
3452662,2018,1,,,Indianapolis,458,23,,1527.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,0.0,-115.0,-110.0,-105.0,-105.0,-113.0,-110.0,-115.0,-110.0,-105.0,-108.0,-110.0,-110.0,33.64,-1.5,-110.0
3452663,2018,1,Sun 9/9,1:00 PM,Jacksonville,461,20,FINAL,1529.0,-3.0,-3.0,-3.0,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3.0,102.0,100.0,105.0,105.0,-117.0,-115.0,-115.0,-116.0,-110.0,-114.0,-115.0,110.0,44.39,-3.0,-110.0
3452663,2018,1,,,N.Y. Giants,462,15,,1535.0,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,-122.0,-120.0,-125.0,-125.0,106.0,-105.0,-105.0,-105.0,100.0,-106.0,-105.0,-130.0,55.61,3.0,-110.0
3452664,2018,1,Sun 9/9,1:00 PM,Tampa Bay,463,48,FINAL,1544.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.0,-115.0,-105.0,-111.0,-111.0,-108.0,-115.0,-110.0,-110.0,-105.0,-113.0,-105.0,-105.0,41.86,7.0,-110.0
3452664,2018,1,,,New Orleans,464,40,,1543.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.5,-10.0,-105.0,-115.0,-109.0,-109.0,-102.0,-105.0,-110.0,-110.0,-105.0,-107.0,-115.0,-115.0,58.14,-7.0,-110.0
3452665,2018,1,Sun 9/9,1:00 PM,Buffalo,459,3,FINAL,1526.0,7.5,8.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.5,7.5,-105.0,-110.0,-110.0,-110.0,-106.0,-110.0,-110.0,-110.0,-105.0,-105.0,-110.0,-105.0,33.83,3.0,-110.0
3452665,2018,1,,,Baltimore,460,47,,1521.0,-7.5,-8.0,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-8.5,-7.5,-115.0,-110.0,-110.0,-110.0,-104.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-115.0,66.17,-3.0,-110.0
3452666,2018,1,Sun 9/9,1:00 PM,Tennessee,467,20,FINAL,1528.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,-1.5,0.0,-110.0,-110.0,-113.0,-113.0,-107.0,-110.0,-110.0,-110.0,-105.0,-112.0,-110.0,-110.0,54.62,-1.5,-110.0
3452666,2018,1,,,Miami,468,27,,1524.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,1.5,0.0,-110.0,-110.0,-108.0,-108.0,-103.0,-110.0,-110.0,-110.0,-105.0,-108.0,-110.0,-110.0,45.38,1.5,-110.0
3452667,2018,1,Sun 9/9,4:05 PM,Kansas City,469,38,FINAL,1531.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.5,3.5,105.0,115.0,105.0,-115.0,-104.0,-115.0,-115.0,-110.0,120.0,112.0,-110.0,-120.0,44.32,3.0,-115.0
3452667,2018,1,,,L.A. Chargers,470,28,,75380.0,-3.0,-3.0,-3.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.0,-3.0,-3.5,-3.5,-125.0,-135.0,-125.0,-105.0,-106.0,-105.0,-105.0,-110.0,-130.0,-132.0,-110.0,100.0,55.68,-3.0,-105.0
