game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds,127_moneyline,127_spread,127_spread_odds,127_total,127_total_odds
4700740,1545,2023,6,Carolina,Sun 10/15,1:00 PM,21,FINAL,265,640.0,11.5,-110.0,46.5,-110.0,96.95,5730.0,89.34,13240.0,77.34,0.0,660.0,14.0,-110.0,47.5,-110.0,700.0,14.0,-110.0,47.0,-110.0,755.0,14.0,-105.0,47.0,-113.0,755.0,14.0,-105.0,47.0,-115.0,641.0,14.0,-103.0,47.0,-106.0,600.0,14.0,-110.0,47.0,-110.0,675.0,14.0,-105.0,47.5,-110.0,650.0,14.0,-110.0,47.0,-110.0,649.0,14.0,-108.0,47.0,-108.0,652.0,14.0,-110.0,47.0,-110.0,600.0,14.0,-110.0,47.0,-110.0,645.0,14.0,-110.0,47.5,-110.0,657.0,14.0,-106.0,47.5,-109.0
4700740,1524,2023,6,Miami,Sun 10/15,1:00 PM,42,FINAL,266,-900.0,-11.5,-110.0,46.5,-110.0,3.05,180.0,10.66,1580.0,22.66,0.0,-1000.0,-14.0,-110.0,47.5,-110.0,-1200.0,-14.0,-110.0,47.0,-110.0,-1200.0,-14.0,-115.0,47.0,-107.0,-1200.0,-14.0,-115.0,47.0,-105.0,-898.0,-14.0,-108.0,47.0,-106.0,-900.0,-14.0,-110.0,47.0,-110.0,-1100.0,-14.0,-115.0,47.5,-110.0,-1000.0,-14.0,-110.0,47.0,-110.0,-1055.0,-14.0,-108.0,47.0,-108.0,-1068.0,-14.0,-110.0,47.0,-110.0,-900.0,-14.0,-110.0,47.0,-110.0,-1150.0,-14.0,-110.0,47.5,-110.0,-1000.0,-14.0,-105.0,47.5,-111.0
4700741,1548,2023,6,Seattle,Sun 10/15,1:00 PM,13,FINAL,257,125.0,2.0,-110.0,44.0,-110.0,72.08,3150.0,62.93,8370.0,84.04,0.0,140.0,3.0,-110.0,45.5,-110.0,140.0,3.0,100.0,46.0,-115.0,148.0,3.0,-102.0,45.0,-110.0,148.0,3.0,-105.0,45.5,101.0,144.0,3.0,-106.0,45.5,-108.0,145.0,3.0,-105.0,45.5,-110.0,140.0,3.0,-105.0,45.5,-110.0,140.0,3.0,-110.0,45.5,-110.0,135.0,3.0,-108.0,45.5,-108.0,147.0,3.0,-106.0,45.5,-110.0,145.0,3.0,-105.0,45.5,-110.0,143.0,3.0,100.0,45.5,-110.0,134.0,2.0,-101.0,45.5,-109.0
4700741,1522,2023,6,Cincinnati,Sun 10/15,1:00 PM,17,FINAL,258,-145.0,-2.0,-110.0,44.0,-110.0,27.92,1220.0,37.07,4930.0,15.96,0.0,-160.0,-3.0,-110.0,45.5,-110.0,-165.0,-3.0,-120.0,46.0,-105.0,-170.0,-3.0,-118.0,45.0,-110.0,-170.0,-3.0,-115.0,45.5,-122.0,-161.0,-3.0,-104.0,45.5,-104.0,-165.0,-3.0,-115.0,45.5,-110.0,-160.0,-3.0,-115.0,45.5,-110.0,-160.0,-3.0,-110.0,45.5,-110.0,-155.0,-3.0,-108.0,45.5,-108.0,-167.0,-3.0,-114.0,45.5,-110.0,-165.0,-3.0,-115.0,45.5,-110.0,-168.0,-3.0,-120.0,45.5,-110.0,-161.0,-2.0,-132.0,45.5,-118.0
4700742,1527,2023,6,Indianapolis,Sun 10/15,1:00 PM,20,FINAL,263,180.0,5.5,-110.0,45.5,-110.0,79.62,3320.0,63.84,7240.0,69.35,0.0,175.0,4.0,-110.0,43.5,-110.0,175.0,4.0,-110.0,44.0,-105.0,176.0,4.0,-103.0,44.0,-110.0,176.0,4.0,-103.0,44.0,-110.0,182.0,4.0,101.0,44.5,103.0,170.0,4.0,-110.0,44.0,-110.0,170.0,4.0,-110.0,44.0,-110.0,175.0,4.0,-110.0,44.0,-110.0,175.0,4.0,-113.0,44.0,-108.0,173.0,4.0,-116.0,44.0,-111.0,170.0,4.0,-110.0,44.0,-110.0,170.0,4.0,-110.0,43.5,-110.0,169.0,3.5,-108.0,43.5,-111.0
4700742,1529,2023,6,Jacksonville,Sun 10/15,1:00 PM,37,FINAL,264,-210.0,-5.5,-110.0,45.5,-110.0,20.38,850.0,36.16,4100.0,30.65,0.0,-205.0,-4.0,-110.0,43.5,-110.0,-210.0,-4.0,-110.0,44.0,-115.0,-210.0,-4.0,-117.0,44.0,-110.0,-210.0,-4.0,-117.0,44.0,-110.0,-207.0,-4.0,-111.0,44.5,-116.0,-205.0,-4.0,-110.0,44.0,-110.0,-200.0,-4.0,-110.0,44.0,-110.0,-200.0,-4.0,-110.0,44.0,-110.0,-205.0,-4.0,-103.0,44.0,-108.0,-203.0,-4.0,-104.0,44.0,-109.0,-205.0,-4.0,-110.0,44.0,-110.0,-210.0,-4.0,-110.0,43.5,-110.0,-204.0,-3.5,-123.0,43.5,-109.0
4700743,1541,2023,6,Minnesota,Sun 10/15,1:00 PM,19,FINAL,255,-165.0,-4.0,-110.0,48.5,-110.0,52.92,1900.0,57.9,7400.0,65.38,0.0,-160.0,-3.0,-115.0,45.0,-113.0,-150.0,-3.0,-115.0,45.0,-115.0,-160.0,-3.0,-110.0,45.0,-110.0,-160.0,-3.0,-110.0,45.0,-110.0,-151.0,-3.0,-103.0,44.5,-115.0,-160.0,-3.0,-115.0,45.0,-110.0,-160.0,-3.0,-115.0,45.0,-110.0,-160.0,-3.0,-115.0,44.5,-110.0,-160.0,-3.0,-108.0,45.0,-108.0,-158.0,-3.0,-113.0,45.0,-109.0,-160.0,-3.0,-115.0,45.0,-110.0,-160.0,-3.0,-115.0,44.5,-115.0,-164.0,-3.0,-110.0,44.5,-110.0
4700743,1540,2023,6,Chicago,Sun 10/15,1:00 PM,13,FINAL,256,145.0,4.0,-110.0,48.5,-110.0,47.08,1690.0,42.1,5380.0,34.62,0.0,140.0,3.0,-105.0,45.0,-107.0,130.0,3.0,-105.0,45.0,-105.0,140.0,3.0,-110.0,45.0,-110.0,140.0,3.0,-110.0,45.0,-110.0,135.0,3.0,-108.0,44.5,102.0,140.0,3.0,-105.0,45.0,-110.0,140.0,3.0,-105.0,45.0,-110.0,140.0,3.0,-105.0,44.5,-110.0,140.0,3.0,-108.0,45.0,-108.0,138.0,3.0,-107.0,45.0,-111.0,140.0,3.0,-105.0,45.0,-110.0,140.0,3.0,-105.0,44.5,-105.0,136.0,3.0,-103.0,44.5,-109.0
4700744,1525,2023,6,New England,Sun 10/15,4:05 PM,17,FINAL,269,150.0,0.0,-105.0,42.5,-110.0,68.55,2310.0,68.7,6760.0,40.0,0.0,132.0,3.0,-123.0,41.5,-110.0,130.0,3.0,-120.0,42.0,-105.0,135.0,3.0,-117.0,41.5,-105.0,135.0,3.0,-117.0,41.5,-105.0,136.0,3.0,-112.0,41.5,-110.0,130.0,3.0,-120.0,41.5,-110.0,130.0,3.0,-115.0,41.5,-110.0,130.0,3.0,-115.0,41.5,-110.0,130.0,3.0,-108.0,42.5,-108.0,128.0,3.0,-114.0,42.5,-110.0,130.0,3.0,-120.0,41.5,-110.0,130.0,3.0,-120.0,41.5,-110.0,123.0,3.0,-111.0,41.5,-108.0
4700744,1533,2023,6,Las Vegas,Sun 10/15,4:05 PM,21,FINAL,270,-170.0,0.0,-115.0,42.5,-110.0,31.45,1060.0,31.3,3080.0,60.0,0.0,-152.0,-3.0,103.0,41.5,-110.0,-150.0,-3.0,100.0,42.0,-115.0,-155.0,-3.0,-103.0,41.5,-115.0,-155.0,-3.0,-103.0,41.5,-115.0,-152.0,-3.0,101.0,41.5,-103.0,-150.0,-3.0,100.0,41.5,-110.0,-150.0,-3.0,-105.0,41.5,-110.0,-150.0,-3.0,-105.0,41.5,-110.0,-150.0,-3.0,-108.0,42.5,-108.0,-148.0,-3.0,-106.0,42.5,-110.0,-150.0,-3.0,100.0,41.5,-110.0,-150.0,-3.0,100.0,41.5,-110.0,-149.0,-3.0,-101.0,41.5,-111.0
