eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84
4143591,455,2020,16,Sun 12/27,1:00 PM,Cleveland,16,FINAL,0.0,-6.5,-118.0,-7.0,-105.0,-7.0,-110.0,-6.5,-116.0,-6.5,-116.0,-6.5,-114.0,-6.5,-118.0,-6.5,-115.0,-6.5,-115.0,-6.5,-113.0,-7.0,-103.0,-7.5,100.0,-6.5,-118.0
4143591,456,2020,16,,,N.Y. Jets,23,,0.0,6.5,-102.0,7.0,-115.0,7.0,-110.0,6.5,-113.0,6.5,-113.0,6.5,103.0,6.5,-102.0,6.5,-105.0,6.5,-105.0,6.5,-103.0,7.0,-117.0,7.5,-120.0,6.5,-102.0
4143592,463,2020,16,Sun 12/27,1:00 PM,Cincinnati,37,FINAL,0.0,8.5,-110.0,7.5,-115.0,7.5,-115.0,7.0,-111.0,7.0,-111.0,7.5,-113.0,7.5,-117.0,7.5,-110.0,7.5,-110.0,7.5,-113.0,7.5,-116.0,7.5,-105.0,7.5,-117.0
4143592,464,2020,16,,,Houston,31,,0.0,-8.5,-110.0,-7.5,-105.0,-7.5,-105.0,-7.0,-107.0,-7.0,-107.0,-7.5,102.0,-7.5,-103.0,-7.5,-110.0,-7.5,-110.0,-7.5,-103.0,-7.5,-104.0,-7.5,-115.0,-7.5,-103.0
4143585,453,2020,16,Sun 12/27,4:05 PM,Denver,16,FINAL,0.0,2.5,100.0,2.0,-110.0,2.0,-105.0,3.5,-118.0,3.5,-118.0,2.5,-111.0,2.5,-113.0,2.5,-115.0,2.0,-110.0,2.0,-108.0,2.0,-109.0,2.5,-105.0,2.5,-115.0
4143585,454,2020,16,,,L.A. Chargers,19,,0.0,-2.5,-120.0,-2.0,-110.0,-2.0,-115.0,-3.5,-111.0,-3.5,-111.0,-2.5,100.0,-2.5,-107.0,-2.5,-105.0,-2.0,-110.0,-2.0,-108.0,-2.0,-111.0,-2.5,-115.0,-2.5,-105.0
4143586,469,2020,16,Sun 12/27,4:05 PM,Carolina,20,FINAL,0.0,2.5,-105.0,-1.0,-110.0,-1.0,-110.0,-2.5,-124.0,-2.5,-124.0,-1.0,-105.0,-1.0,-110.0,-1.0,-110.0,-1.0,-110.0,-1.0,-108.0,-1.5,-108.0,-1.5,-110.0,-1.0,-110.0
4143586,470,2020,16,,,Washington,13,,0.0,-2.5,-115.0,1.0,-110.0,1.0,-110.0,2.5,-106.0,2.5,-106.0,1.0,-105.0,1.0,-110.0,1.0,-110.0,1.0,-110.0,1.0,-108.0,1.5,-112.0,1.5,-110.0,1.0,-110.0
4143434,477,2020,16,Sun 12/27,4:25 PM,Philadelphia,17,FINAL,100.0,0.0,-112.0,-3.0,-118.0,-3.0,-125.0,-4.5,113.0,-4.5,113.0,-3.0,-115.0,-3.0,-119.0,-3.0,-120.0,-3.0,-120.0,-3.0,-118.0,-3.0,-119.0,-3.0,-120.0,-3.0,-119.0
4143434,478,2020,16,,,Dallas,37,,0.0,0.0,-108.0,3.0,-102.0,3.0,105.0,4.5,-150.0,4.5,-150.0,3.0,104.0,3.0,-101.0,3.0,100.0,3.0,100.0,3.0,102.0,3.0,-101.0,3.0,100.0,3.0,-101.0
4143590,475,2020,16,Sun 12/27,4:25 PM,L.A. Rams,9,FINAL,0.0,1.0,-110.0,0.0,-102.0,1.5,-110.0,3.5,164.0,3.5,164.0,1.5,103.0,1.5,-103.0,1.5,-105.0,1.5,-110.0,1.5,-108.0,2.0,-110.0,1.5,-105.0,1.5,-101.0
4143590,476,2020,16,,,Seattle,20,,0.0,-1.0,-110.0,0.0,-118.0,-1.5,-110.0,-3.5,-224.0,-3.5,-224.0,-1.5,-114.0,-1.5,-117.0,-1.5,-115.0,-1.5,-110.0,-1.5,-108.0,-2.0,-110.0,-1.5,-115.0,-1.5,-119.0
4143435,479,2020,16,Sun 12/27,8:20 PM,Tennessee,14,FINAL,33.0,4.0,-110.0,3.0,106.0,3.0,100.0,3.5,-123.0,3.5,-123.0,3.0,107.0,3.0,100.0,3.0,105.0,3.0,100.0,3.0,102.0,3.0,103.0,3.5,-115.0,3.0,100.0
4143435,480,2020,16,,,Green Bay,40,,67.0,-4.0,-110.0,-3.0,-126.0,-3.0,-120.0,-3.5,-107.0,-3.5,-107.0,-3.0,-118.0,-3.0,-120.0,-3.0,-125.0,-3.0,-120.0,-3.0,-118.0,-3.0,-123.0,-3.5,-105.0,-3.0,-120.0
4143587,457,2020,16,Sat 12/26,1:00 PM,Tampa Bay,47,FINAL,0.0,-7.0,-120.0,-12.0,-115.0,-12.0,-115.0,-10.0,-109.0,-10.0,-109.0,-12.0,101.0,-12.0,-110.0,-12.0,-110.0,-12.0,-110.0,-11.0,-108.0,-12.0,-108.0,-12.5,-110.0,-12.0,-110.0
4143587,458,2020,16,,,Detroit,7,,0.0,7.0,100.0,12.0,-105.0,12.0,-105.0,10.0,-121.0,10.0,-121.0,12.0,-111.0,12.0,-110.0,12.0,-110.0,12.0,-110.0,11.0,-108.0,12.0,-112.0,12.5,-110.0,12.0,-110.0
4143584,459,2020,16,Sat 12/26,4:30 PM,San Francisco,20,FINAL,0.0,2.5,105.0,6.0,-116.0,6.5,-120.0,8.0,-116.0,8.0,-116.0,6.0,-108.0,6.0,-105.0,6.0,-115.0,6.0,-110.0,5.5,-108.0,6.0,-114.0,7.0,-115.0,6.0,-105.0
4143584,460,2020,16,,,Arizona,12,,0.0,-2.5,-125.0,-6.0,-104.0,-6.5,100.0,-8.0,-113.0,-8.0,-113.0,-6.0,-102.0,-6.0,-115.0,-6.0,-105.0,-6.0,-110.0,-5.5,-108.0,-6.0,-106.0,-7.0,-105.0,-6.0,-115.0
4143589,461,2020,16,Sat 12/26,8:15 PM,Miami,26,FINAL,50.0,1.5,-110.0,-2.5,-112.0,-3.0,110.0,-2.5,-113.0,-2.5,-113.0,-2.0,-104.0,-2.0,-115.0,-2.0,-110.0,-2.5,-110.0,-2.0,-108.0,-2.0,-108.0,-3.0,105.0,-2.0,-115.0
4143589,462,2020,16,,,Las Vegas,25,,50.0,-1.5,-110.0,2.5,-108.0,3.0,-130.0,2.5,-116.0,2.5,-116.0,2.0,-106.0,2.0,-105.0,2.0,-110.0,2.5,-110.0,2.0,-108.0,2.0,-112.0,3.0,-130.0,2.0,-105.0
4143433,451,2020,16,Fri 12/25,4:30 PM,Minnesota,33,FINAL,100.0,6.5,-110.0,6.5,-114.0,6.5,-110.0,6.5,-115.0,6.5,-115.0,6.5,-109.0,6.5,-120.0,6.5,-115.0,6.5,-115.0,6.0,-108.0,6.5,-114.0,6.5,-115.0,6.5,-120.0
4143433,452,2020,16,,,New Orleans,52,,0.0,-6.5,-110.0,-6.5,-106.0,-6.5,-110.0,-6.5,-105.0,-6.5,-105.0,-6.5,-102.0,-6.5,100.0,-6.5,-105.0,-6.5,-105.0,-6.0,-108.0,-6.5,-106.0,-6.5,-105.0,-6.5,100.0
