eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84
4143416,465,2020,13,Sun 12/6,1:00 PM,Cleveland,41,FINAL,45.0,3.5,-110.0,4.0,-112.0,4.0,-120.0,2.5,-105.0,2.5,-105.0,4.0,-111.0,4.0,-110.0,3.5,-110.0,4.0,-115.0,3.5,-108.0,3.5,-109.0,6.0,-110.0,4.0,-110.0
4143416,466,2020,13,,,Tennessee,35,,55.0,-3.5,-110.0,-4.0,-108.0,-4.0,100.0,-2.5,-125.0,-2.5,-125.0,-4.0,101.0,-4.0,-110.0,-3.5,-110.0,-4.0,-105.0,-3.5,-108.0,-3.5,-111.0,-6.0,-110.0,-4.0,-110.0
4143417,451,2020,13,Sun 12/6,1:00 PM,Detroit,34,FINAL,44.0,5.0,-110.0,3.0,-111.0,3.0,-115.0,3.0,-110.0,3.0,-110.0,3.0,-100.0,3.0,-110.0,3.0,-115.0,3.0,-115.0,3.0,-108.0,3.0,-113.0,3.0,-110.0,3.0,-110.0
4143417,452,2020,13,,,Chicago,30,,56.0,-5.0,-110.0,-3.0,-109.0,-3.0,-105.0,-3.0,-110.0,-3.0,-110.0,-3.0,-110.0,-3.0,-110.0,-3.0,-105.0,-3.0,-105.0,-3.0,-108.0,-3.0,-107.0,-3.0,-110.0,-3.0,-110.0
4143553,463,2020,13,Sun 12/6,1:00 PM,New Orleans,21,FINAL,50.0,-3.5,100.0,-2.0,-125.0,-3.0,105.0,-2.5,-123.0,-2.5,-123.0,-2.5,-113.0,-2.0,-120.0,-3.0,100.0,-2.5,-120.0,-2.5,-118.0,-2.5,-119.0,-2.5,-115.0,-2.0,-120.0
4143553,464,2020,13,,,Atlanta,16,,50.0,3.5,-120.0,2.0,105.0,3.0,-125.0,2.5,-107.0,2.5,-107.0,2.5,102.0,2.0,100.0,3.0,-120.0,2.5,100.0,2.5,102.0,2.5,-101.0,2.5,-105.0,2.0,100.0
4143554,453,2020,13,Sun 12/6,1:00 PM,Cincinnati,7,FINAL,53.0,10.0,-110.0,10.5,-120.0,10.0,-105.0,9.5,-113.0,9.5,-113.0,10.5,-115.0,10.5,-120.0,10.5,-120.0,10.0,-110.0,10.0,-108.0,10.0,-110.0,11.5,-110.0,10.5,-120.0
4143554,454,2020,13,,,Miami,19,,47.0,-10.0,-110.0,-10.5,100.0,-10.0,-115.0,-9.5,-116.0,-9.5,-116.0,-10.5,105.0,-10.5,100.0,-10.5,100.0,-10.0,-110.0,-10.0,-108.0,-10.0,-110.0,-11.5,-110.0,-10.5,100.0
4143555,455,2020,13,Sun 12/6,1:00 PM,Indianapolis,26,FINAL,57.0,-3.5,-110.0,-3.0,-117.0,-3.5,-110.0,-3.5,-110.0,-3.5,-110.0,-3.5,101.0,-3.0,-130.0,-3.5,-105.0,-3.0,-125.0,-3.0,-123.0,-3.0,-128.0,-3.5,-105.0,-3.0,-130.0
4143555,456,2020,13,,,Houston,20,,43.0,3.5,-110.0,3.0,-103.0,3.5,-110.0,3.5,-119.0,3.5,-119.0,3.5,-112.0,3.0,110.0,3.5,-115.0,3.0,105.0,3.0,107.0,3.0,108.0,3.5,-115.0,3.0,110.0
4143559,469,2020,13,Sun 12/6,4:05 PM,L.A. Rams,38,FINAL,55.0,-1.0,-110.0,-2.5,-118.0,-3.0,100.0,2.5,104.0,2.5,104.0,-2.5,-114.0,-2.0,-125.0,-2.5,-120.0,-2.5,-120.0,-2.5,-118.0,-2.5,-120.0,-3.0,100.0,-2.0,-125.0
4143559,470,2020,13,,,Arizona,28,,45.0,1.0,-110.0,2.5,-102.0,3.0,-120.0,-2.5,-125.0,-2.5,-125.0,2.5,103.0,2.0,105.0,2.5,100.0,2.5,100.0,2.5,102.0,2.5,100.0,3.0,-120.0,2.0,105.0
4143561,467,2020,13,Sun 12/6,4:05 PM,N.Y. Giants,17,FINAL,47.0,10.0,-115.0,10.0,-103.0,11.0,-110.0,13.5,-113.0,13.5,-113.0,11.0,-114.0,11.0,-115.0,11.0,-115.0,11.0,-110.0,10.5,-108.0,10.5,-111.0,11.0,-115.0,11.0,-115.0
4143561,468,2020,13,,,Seattle,12,,53.0,-10.0,-105.0,-10.0,-117.0,-11.0,-110.0,-13.5,-116.0,-13.5,-116.0,-11.0,104.0,-11.0,-105.0,-11.0,-105.0,-11.0,-110.0,-10.5,-108.0,-10.5,-109.0,-11.0,-105.0,-11.0,-105.0
4143418,471,2020,13,Sun 12/6,4:25 PM,Philadelphia,16,FINAL,40.0,7.0,-110.0,8.0,-110.0,8.5,-115.0,7.5,-115.0,7.5,-115.0,8.0,-102.0,8.0,-105.0,9.0,-115.0,8.0,-110.0,8.0,-108.0,8.0,-108.0,8.5,-110.0,8.0,-105.0
4143418,472,2020,13,,,Green Bay,30,,60.0,-7.0,-110.0,-8.0,-110.0,-8.5,-105.0,-7.5,-115.0,-7.5,-115.0,-8.0,-108.0,-8.0,-115.0,-9.0,-105.0,-8.0,-110.0,-8.0,-108.0,-8.0,-112.0,-8.5,-110.0,-8.0,-115.0
4143558,473,2020,13,Sun 12/6,4:25 PM,New England,45,FINAL,53.0,2.5,-105.0,1.5,-105.0,2.0,-105.0,-2.0,-108.0,-2.0,-108.0,2.5,-109.0,2.0,-110.0,2.0,-105.0,2.0,-110.0,2.0,-108.0,2.0,-107.0,0.0,-115.0,2.0,-110.0
4143558,474,2020,13,,,L.A. Chargers,0,,47.0,-2.5,-115.0,-1.5,-115.0,-2.0,-115.0,2.0,-122.0,2.0,-122.0,-2.5,-102.0,-2.0,-110.0,-2.0,-115.0,-2.0,-110.0,-2.0,-108.0,-2.0,-113.0,0.0,-105.0,-2.0,-110.0
4143556,475,2020,13,Sun 12/6,8:20 PM,Denver,16,FINAL,38.0,13.0,-105.0,12.0,-105.0,13.5,-105.0,13.0,-114.0,13.0,-114.0,13.0,-120.0,13.0,-115.0,13.5,-120.0,13.0,-110.0,12.5,-108.0,12.5,-111.0,14.0,-110.0,13.0,-115.0
4143556,476,2020,13,,,Kansas City,22,,62.0,-13.0,-115.0,-12.0,-115.0,-13.5,-115.0,-13.0,-106.0,-13.0,-106.0,-13.0,108.0,-13.0,-105.0,-13.5,100.0,-13.0,-110.0,-12.5,-108.0,-12.5,-109.0,-14.0,-110.0,-13.0,-105.0
