eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4700737,267,2023,6,Sun 10/15,4:25 PM,Detroit,20,FINAL,1539,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-109.0,-110.0,-110.0,-110.0,-102.0,-115.0,-110.0,-110.0,-108.0,-110.0,-115.0,-105.0,-105.0,30.07,-3.0,-110
4700737,268,2023,6,,,Tampa Bay,6,,1544,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-111.0,-110.0,-110.0,-110.0,-108.0,-105.0,-110.0,-110.0,-108.0,-110.0,-105.0,-115.0,-108.0,69.93,3.0,-110
4700745,271,2023,6,Sun 10/15,4:25 PM,Arizona,9,FINAL,1549,7.5,7.0,7.0,7.0,7.5,7.0,7.5,7.0,7.0,7.0,7.0,7.0,7.0,-115.0,-105.0,-105.0,-105.0,-105.0,-105.0,-110.0,-110.0,-103.0,-106.0,-105.0,-105.0,-104.0,82.2,4.5,-110
4700745,272,2023,6,,,L.A. Rams,26,,1550,-7.5,-7.0,-7.0,-7.0,-7.5,-7.0,-7.5,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-105.0,-115.0,-115.0,-115.0,-105.0,-115.0,-110.0,-110.0,-113.0,-114.0,-115.0,-115.0,-108.0,17.8,-4.5,-110
4700746,273,2023,6,Sun 10/15,4:25 PM,Philadelphia,14,FINAL,1536,-6.5,-6.5,-6.5,-6.5,-6.5,-7.0,-6.5,-6.5,-6.5,-6.5,-7.0,-6.5,-6.5,-121.0,-125.0,-113.0,-113.0,-105.0,100.0,-120.0,-110.0,-118.0,-118.0,100.0,-125.0,-110.0,14.53,-6.0,-110
4700746,274,2023,6,,,N.Y. Jets,20,,1523,6.5,6.5,6.5,6.5,6.5,7.0,6.5,6.5,6.5,6.5,7.0,6.5,6.5,101.0,105.0,-107.0,-107.0,-105.0,-120.0,100.0,-110.0,102.0,-102.0,-120.0,105.0,-103.0,85.47,6.0,-110
4700747,275,2023,6,Sun 10/15,8:20 PM,N.Y. Giants,9,FINAL,1535,14.5,15.5,15.0,15.0,15.5,15.5,15.5,15.5,14.5,14.5,15.5,15.0,14.5,-107.0,-110.0,-110.0,-110.0,-112.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-115.0,-111.0,81.03,12.5,-110
4700747,276,2023,6,,,Buffalo,14,,1526,-14.5,-15.5,-15.0,-15.0,-15.5,-15.5,-15.5,-15.5,-14.5,-14.5,-15.5,-15.0,-14.5,-113.0,-110.0,-110.0,-110.0,102.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-105.0,-102.0,18.97,-12.5,-110
4700735,111,2023,6,Thu 10/12,8:15 PM,Denver,8,FINAL,1534,10.5,10.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,-113.0,-105.0,-117.0,-117.0,-110.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-110.0,-106.0,72.65,11.0,-110
4700735,112,2023,6,,,Kansas City,19,,1531,-10.5,-10.0,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-107.0,-115.0,-103.0,-103.0,-100.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-110.0,-106.0,27.35,-11.0,-110
