eid,rotation,season,week,date,time,team,score,outcome,partid,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407269,253,2021,4,Sun 10/3,1:00 PM,Detroit,14,FINAL,1539,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,-120.0,-109.0,-120.0,-115.0,-120.0,-108.0,-117.0,-120.0,-120.0,-118.0,33.33,6.0,-110
4407269,254,2021,4,,,Chicago,24,,1540,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-10.0,100.0,-101.0,100.0,-105.0,100.0,-108.0,-103.0,100.0,100.0,-102.0,66.67,-6.0,-110
4407270,251,2021,4,Sun 10/3,1:00 PM,Washington,34,FINAL,1537,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.5,-1.5,-2.0,7.5,-110.0,-111.0,-110.0,-110.0,-110.0,-108.0,-111.0,-110.0,-110.0,-212.0,100.0,0.0,-110
4407270,252,2021,4,,,Atlanta,30,,1546,2.0,1.0,2.0,2.0,2.0,2.0,1.5,1.5,2.0,-7.5,-110.0,100.0,-110.0,-110.0,-110.0,-108.0,-109.0,-110.0,-110.0,177.0,0.0,0.0,-110
4407273,269,2021,4,Sun 10/3,4:05 PM,Arizona,37,FINAL,1549,4.0,3.5,3.5,4.0,3.5,4.0,3.5,3.5,3.5,-3.0,-110.0,100.0,-110.0,-110.0,-105.0,-108.0,-107.0,-105.0,-110.0,-117.0,33.33,5.5,-105
4407273,270,2021,4,,,L.A. Rams,20,,1550,-4.0,-3.5,-3.5,-4.0,-3.5,-4.0,-3.5,-3.5,-3.5,3.0,-110.0,-111.0,-110.0,-110.0,-115.0,-108.0,-113.0,-115.0,-110.0,-103.0,66.67,-5.5,-115
4407274,271,2021,4,Sun 10/3,4:05 PM,Seattle,28,FINAL,1548,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,-14.5,-110.0,-103.0,-115.0,-110.0,-110.0,-108.0,-107.0,-110.0,-115.0,-257.0,11.11,2.0,-110
4407274,272,2021,4,,,San Francisco,21,,1547,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,14.5,-110.0,-107.0,-105.0,-110.0,-110.0,-108.0,-113.0,-110.0,-105.0,222.0,88.89,-2.0,-110
4407261,275,2021,4,Sun 10/3,4:25 PM,Pittsburgh,17,FINAL,1519,6.5,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,-115.0,-104.0,-110.0,-120.0,-110.0,-108.0,-111.0,-115.0,-110.0,-110.0,33.33,2.0,-110
4407261,276,2021,4,,,Green Bay,27,,1542,-6.5,-6.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-10.0,-105.0,-106.0,-110.0,100.0,-110.0,-108.0,-109.0,-105.0,-110.0,-110.0,66.67,-2.0,-110
4407271,273,2021,4,Sun 10/3,4:25 PM,Baltimore,23,FINAL,1521,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,-9.5,-110.0,101.0,-105.0,-105.0,-105.0,-108.0,-108.0,-105.0,-105.0,-113.0,16.67,-1.0,-110
4407271,274,2021,4,,,Denver,7,,1534,-1.0,-1.0,-1.0,-1.0,-1.0,-1.5,-1.5,-1.0,-1.0,9.5,-110.0,-111.0,-115.0,-115.0,-115.0,-108.0,-112.0,-115.0,-115.0,-107.0,83.33,1.0,-110
4407272,277,2021,4,Sun 10/3,8:20 PM,Tampa Bay,19,FINAL,1544,-7.0,-6.0,-6.5,-7.0,-6.5,-6.5,-6.5,-7.5,-6.5,-2.0,-105.0,-105.0,-105.0,-105.0,-110.0,-108.0,-107.0,100.0,-105.0,108.0,21.05,-3.5,-110
4407272,278,2021,4,,,New England,17,,1525,7.0,6.0,6.5,7.0,6.5,6.5,6.5,7.5,6.5,2.0,-115.0,-105.0,-115.0,-115.0,-110.0,-108.0,-113.0,-120.0,-115.0,-128.0,78.95,3.5,-110
4407266,101,2021,4,Thu 9/30,8:20 PM,Jacksonville,21,FINAL,1529,7.5,7.5,7.5,7.5,7.5,7.0,7.0,7.5,7.5,3.0,-115.0,105.0,-120.0,-115.0,-115.0,-103.0,-104.0,-110.0,-120.0,-292.0,54.55,1.5,-110
4407266,102,2021,4,,,Cincinnati,24,,1522,-7.5,-7.5,-7.5,-7.5,-7.5,-7.0,-7.0,-7.5,-7.5,-3.0,-105.0,-116.0,100.0,-105.0,-105.0,-113.0,-116.0,-110.0,100.0,252.0,45.45,-1.5,-110
