eid,rotation,season,week,date,time,team,score,outcome,partid,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407234,281,2021,2,Sun 9/19,1:00 PM,San Francisco,17,FINAL,1547,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,105.0,104.0,103.0,-105.0,100.0,-108.0,-103.0,100.0,103.0,-105.0,66.67,-4.0,-110
4407234,282,2021,2,,,Philadelphia,11,,1536,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-125.0,-115.0,-117.0,-115.0,-120.0,-108.0,-117.0,-120.0,-117.0,-115.0,33.33,4.0,-110
4407236,269,2021,2,Sun 9/19,1:00 PM,New Orleans,7,FINAL,1543,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,100.0,102.0,-107.0,-105.0,100.0,-108.0,-102.0,100.0,-107.0,-110.0,28.57,-1.5,-110
4407236,270,2021,2,,,Carolina,26,,1545,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-120.0,-113.0,-107.0,-115.0,-120.0,-108.0,-118.0,-120.0,-107.0,-110.0,71.43,1.5,-110
4407238,279,2021,2,Sun 9/19,1:00 PM,L.A. Rams,27,FINAL,1550,-4.5,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-105.0,-110.0,-107.0,-110.0,-110.0,-108.0,-109.0,-110.0,-107.0,-140.0,100.0,1.0,-110
4407238,280,2021,2,,,Indianapolis,24,,1527,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,-115.0,-100.0,-107.0,-110.0,-110.0,-108.0,-111.0,-110.0,-107.0,120.0,0.0,-1.0,-110
4407239,275,2021,2,Sun 9/19,1:00 PM,Las Vegas,26,FINAL,1533,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,-110.0,-109.0,-107.0,-105.0,-110.0,-108.0,-111.0,-105.0,-107.0,-110.0,28.57,5.0,-110
4407239,276,2021,2,,,Pittsburgh,17,,1519,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.0,-110.0,-102.0,-107.0,-115.0,-110.0,-108.0,-109.0,-115.0,-107.0,-110.0,71.43,-5.0,-110
4407242,285,2021,2,Sun 9/19,1:00 PM,New England,25,FINAL,1525,-6.0,-5.5,-6.0,-6.0,-5.5,-6.0,-5.5,-5.5,-6.0,-12.0,-105.0,-105.0,-107.0,-110.0,-110.0,-108.0,-110.0,-110.0,-107.0,-115.0,60.0,-3.5,-107
4407242,286,2021,2,,,N.Y. Jets,6,,1523,6.0,5.5,6.0,6.0,5.5,6.0,5.5,5.5,6.0,12.0,-115.0,-105.0,-107.0,-110.0,-110.0,-108.0,-110.0,-110.0,-107.0,-105.0,40.0,3.5,-113
4407240,287,2021,2,Sun 9/19,4:05 PM,Minnesota,33,FINAL,1541,3.5,4.0,3.5,3.5,4.0,3.5,3.5,3.5,3.5,3.5,-105.0,-111.0,-107.0,-110.0,-110.0,-108.0,-109.0,-105.0,-107.0,-110.0,60.0,3.0,-110
4407240,288,2021,2,,,Arizona,34,,1549,-3.5,-4.0,-3.5,-3.5,-4.0,-3.5,-3.5,-3.5,-3.5,-3.5,-115.0,101.0,-107.0,-110.0,-110.0,-108.0,-111.0,-115.0,-107.0,-110.0,40.0,-3.0,-110
4407241,289,2021,2,Sun 9/19,4:05 PM,Atlanta,25,FINAL,1546,13.0,13.5,13.0,13.0,13.0,12.0,13.0,12.5,12.5,13.0,-110.0,-108.0,-110.0,-110.0,-110.0,-108.0,-111.0,-110.0,-107.0,-110.0,50.0,13.0,-110
4407241,290,2021,2,,,Tampa Bay,48,,1544,-13.0,-13.5,-13.0,-13.0,-13.0,-12.0,-13.0,-12.5,-12.5,-13.0,-110.0,-102.0,-110.0,-110.0,-110.0,-108.0,-109.0,-110.0,-107.0,-110.0,50.0,-13.0,-110
4407229,293,2021,2,Sun 9/19,4:25 PM,Dallas,20,FINAL,1538,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.5,-115.0,-109.0,-107.0,-110.0,-105.0,-108.0,-103.0,-120.0,-107.0,100.0,50.0,3.0,-120
4407229,294,2021,2,,,L.A. Chargers,17,,75380,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,2.5,-105.0,-101.0,-107.0,-110.0,-115.0,-108.0,-117.0,100.0,-107.0,-120.0,50.0,-3.0,100
4407235,291,2021,2,Sun 9/19,4:25 PM,Tennessee,33,FINAL OT,1528,6.5,6.5,6.0,6.0,6.5,6.0,6.0,6.0,6.0,12.5,-110.0,-100.0,-105.0,-105.0,-110.0,-108.0,-106.0,-110.0,-110.0,-109.0,25.0,3.5,-110
4407235,292,2021,2,,,Seattle,30,,1548,-6.5,-6.5,-6.0,-6.0,-6.5,-6.0,-6.0,-6.0,-6.0,-12.5,-110.0,-110.0,-115.0,-115.0,-110.0,-108.0,-114.0,-110.0,-110.0,-111.0,75.0,-3.5,-110
4407237,295,2021,2,Sun 9/19,8:20 PM,Kansas City,35,FINAL,1531,-4.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-105.0,107.0,-107.0,-110.0,-110.0,-108.0,-111.0,-105.0,-107.0,-110.0,76.92,-2.5,-110
4407237,296,2021,2,,,Baltimore,36,,1521,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-115.0,-118.0,-107.0,-110.0,-110.0,-108.0,-109.0,-115.0,-107.0,-110.0,23.08,2.5,-110
4407233,101,2021,2,Thu 9/16,8:20 PM,N.Y. Giants,29,FINAL,1535,4.0,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,-5.5,-105.0,-103.0,-110.0,-105.0,-110.0,-103.0,-105.0,-110.0,-110.0,147.0,76.47,5.0,-110
4407233,102,2021,2,,,Washington,30,,1537,-4.0,-4.0,-4.0,-4.0,-3.5,-3.5,-3.5,-4.0,-4.0,5.5,-115.0,-107.0,-110.0,-115.0,-110.0,-113.0,-115.0,-110.0,-110.0,-167.0,23.53,-5.0,-110
