eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4642861,467,2022,13,Sun 12/4,4:05 PM,Seattle,27,FINAL,1548,-6.5,-6.5,-6.5,-6.5,-7.0,-7.0,-6.5,-6.5,-6.5,-6.5,-7.0,-6.5,-7.0,-115.0,-110.0,-110.0,-110.0,106.0,-105.0,-110.0,-108.0,-115.0,-110.0,-105.0,-110.0,-105.0,25.07,-3.5,-110
4642861,468,2022,13,,,L.A. Rams,23,,1550,6.5,6.5,6.5,6.5,7.0,7.0,6.5,6.5,6.5,6.5,7.0,6.5,7.0,-105.0,-110.0,-110.0,-110.0,-117.0,-115.0,-110.0,-108.0,-105.0,-110.0,-115.0,-110.0,-125.0,74.93,3.5,-110
4642862,469,2022,13,Sun 12/4,4:05 PM,Miami,17,FINAL,1524,5.0,5.0,5.5,5.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-110.0,-110.0,-109.0,-109.0,-102.0,-113.0,-110.0,-108.0,-110.0,-110.0,-113.0,-110.0,-111.0,34.53,4.5,-110
4642862,470,2022,13,,,San Francisco,33,,1547,-5.0,-5.0,-5.5,-5.5,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-110.0,-110.0,-111.0,-111.0,-108.0,-107.0,-110.0,-108.0,-110.0,-110.0,-107.0,-110.0,-111.0,65.47,-4.5,-110
4642863,473,2022,13,Sun 12/4,4:25 PM,Kansas City,24,FINAL,1531,-2.5,-2.5,-2.5,-2.5,-2.5,-2.0,-2.5,-2.5,-2.5,2.5,-2.0,-2.5,-3.0,-115.0,-120.0,-110.0,-110.0,-104.0,-115.0,-115.0,-113.0,-115.0,-115.0,-115.0,-115.0,-105.0,39.1,-2.5,-113
4642863,474,2022,13,,,Cincinnati,27,,1522,2.5,2.5,2.5,2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.0,2.5,3.0,-105.0,100.0,-110.0,-110.0,-106.0,-105.0,-105.0,-103.0,-105.0,-105.0,-105.0,-105.0,-132.0,60.9,2.5,-107
4642864,471,2022,13,Sun 12/4,4:25 PM,L.A. Chargers,20,FINAL,75380,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,2.5,2.5,3.0,2.5,2.5,-105.0,-105.0,-101.0,-101.0,-102.0,-126.0,-105.0,-108.0,-108.0,-110.0,-126.0,-105.0,-105.0,39.71,-3.0,-110
4642864,472,2022,13,,,Las Vegas,27,,1533,-2.5,-2.5,-2.5,-2.5,-2.5,-3.0,-2.5,-2.5,-2.5,-2.5,-3.0,-2.5,-2.5,-115.0,-115.0,-119.0,-119.0,-108.0,106.0,-115.0,-108.0,-112.0,-110.0,106.0,-115.0,-116.0,60.29,3.0,-110
4642865,475,2022,13,Sun 12/4,8:20 PM,Indianapolis,19,FINAL,1527,11.0,11.0,10.5,10.5,11.0,11.0,11.0,11.0,11.0,10.5,11.0,10.5,10.5,-108.0,-105.0,-110.0,-110.0,-106.0,-108.0,-110.0,-108.0,-112.0,-110.0,-108.0,-110.0,-103.0,79.19,9.5,-110
4642865,476,2022,13,,,Dallas,54,,1538,-11.0,-11.0,-10.5,-10.5,-11.0,-11.0,-11.0,-11.0,-11.0,-10.5,-11.0,-10.5,-10.5,-112.0,-115.0,-110.0,-110.0,-104.0,-112.0,-110.0,-108.0,-108.0,-110.0,-112.0,-110.0,-128.0,20.81,-9.5,-110
4642852,301,2022,13,Thu 12/1,8:15 PM,Buffalo,24,FINAL,1526,-4.0,-4.0,-3.5,-3.5,-3.5,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.5,-108.0,-110.0,-114.0,-114.0,-107.0,-108.0,-110.0,-108.0,-108.0,-110.0,-105.0,-110.0,-106.0,39.46,-5.5,-110
4642852,302,2022,13,,,New England,10,,1525,4.0,4.0,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,-112.0,-110.0,-106.0,-106.0,-103.0,-112.0,-110.0,-108.0,-112.0,-110.0,-115.0,-110.0,-125.0,60.54,5.5,-110
